Rank,Metropolitan statistical area,2021 estimate,2020 Census,% change,Encompassing combined statistical area
368,"Parkersburg-Vienna, WV MSA","88,687","89,490",−0.90%,"Parkersburg-Marietta-Vienna, WV-OH CSA"
369,"Grants Pass, OR MSA","88,346","88,090",0.29%,"Medford-Grants Pass, OR CSA"
370,"Pine Bluff, AR MSA","86,412","87,751",−1.53%,"Little Rock-North Little Rock, AR CSA"
371,"Great Falls, MT MSA","84,511","84,414",0.11%,
372,"Kokomo, IN MSA","83,687","83,658",0.03%,"Kokomo-Peru, IN CSA"
373,"Midland, MI MSA","83,457","83,494",−0.04%,"Saginaw-Midland-Bay City, MI CSA"
374,"Elmira, NY MSA","83,045","84,148",−1.31%,"Elmira-Corning, NY CSA"
375,"Bloomsburg-Berwick, PA MSA","82,959","82,863",0.12%,"Bloomsburg-Berwick-Sunbury, PA CSA"
376,"Hinesville, GA MSA","82,863","81,424",1.77%,"Savannah-Hinesville-Statesboro, GA CSA"
377,"Columbus, IN MSA","82,475","82,208",0.32%,"Indianapolis-Carmel-Muncie, IN CSA"
378,"Casper, WY MSA","79,555","79,955",−0.50%,
379,"Grand Island, NE MSA","76,175","77,038",−1.12%,
380,"Danville, IL MSA","73,095","74,188",−1.47%,
381,"Lewiston, ID-WA MSA","64,851","64,375",0.74%,
382,"Walla Walla, WA MSA","62,682","62,584",0.16%,"Kennewick-Richland-Walla Walla, WA CSA"
383,"Enid, OK MSA","61,926","62,846",−1.46%,
384,"Carson City, NV MSA","58,993","58,639",0.60%,"Reno-Carson City-Fernley, NV CSA"
