Rank,Metropolitan statistical area,2021 estimate,2020 Census,% change,Encompassing combined statistical area
162,"South Bend-Mishawaka, IN-MI MSA","323,695","324,501",−0.25%,"South Bend-Elkhart-Mishawaka, IN-MI CSA"
163,"Roanoke, VA MSA","314,496","315,251",−0.24%,
164,"Evansville, IN-KY MSA","313,946","314,049",−0.03%,
165,"Kingsport-Bristol, TN-VA MSA","308,661","307,614",0.34%,"Johnson City-Kingsport-Bristol, TN-VA CSA"
166,"Kennewick-Richland, WA MSA","308,293","303,622",1.54%,"Kennewick-Richland-Walla Walla, WA CSA"
167,"Hagerstown-Martinsburg, MD-WV MSA","298,227","293,844",1.49%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
168,"Olympia-Lacey-Tumwater, WA MSA","297,977","294,793",1.08%,"Seattle-Tacoma, WA CSA"
169,"Crestview-Fort Walton Beach-Destin, FL MSA","293,324","286,973",2.21%,
170,"Wilmington, NC MSA","291,833","285,905",2.07%,
171,"Duluth, MN-WI MSA","290,780","291,638",−0.29%,
172,"Utica-Rome, NY MSA","290,211","292,264",−0.70%,
173,"Longview, TX MSA","287,868","286,184",0.59%,
174,"Merced, CA MSA","286,461","281,202",1.87%,"San Jose-San Francisco-Oakland, CA CSA"
175,"San Luis Obispo-Paso Robles, CA MSA","283,159","282,424",0.26%,
176,"Sioux Falls, SD MSA","281,958","276,730",1.89%,
177,"Waco, TX MSA","280,428","277,547",1.04%,
178,"Cedar Rapids, IA MSA","275,435","276,520",−0.39%,"Cedar Rapids-Iowa City, IA CSA"
179,"Atlantic City-Hammonton, NJ MSA","274,966","274,534",0.16%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
180,"Bremerton-Silverdale-Port Orchard, WA MSA","274,314","275,611",−0.47%,"Seattle-Tacoma, WA CSA"
181,"College Station-Bryan, TX MSA","272,041","268,248",1.41%,
182,"Amarillo, TX MSA","269,703","268,691",0.38%,"Amarillo-Pampa-Borger, TX CSA"
183,"Erie, PA MSA","269,011","270,876",−0.69%,"Erie-Meadville, PA CSA"
184,"Norwich-New London, CT MSA","268,805","268,555",0.09%,"Hartford-East Hartford, CT CSA"
185,"Tuscaloosa, AL MSA","268,191","268,674",−0.18%,
186,"Laredo, TX MSA","267,945","267,114",0.31%,
187,"Santa Cruz-Watsonville, CA MSA","267,792","270,861",−1.13%,"San Jose-San Francisco-Oakland, CA CSA"
188,"Lynchburg, VA MSA","262,258","261,593",0.25%,
189,"Kalamazoo-Portage, MI MSA","261,108","261,670",−0.21%,"Kalamazoo-Battle Creek-Portage, MI CSA"
190,"Yakima, WA MSA","256,035","256,728",−0.27%,
191,"Charleston, WV MSA","255,020","258,859",−1.48%,"Charleston-Huntington-Ashland, WV-OH-KY CSA"
192,"Fargo, ND-MN MSA","252,136","249,843",0.92%,"Fargo-Wahpeton, ND-MN CSA"
193,"Fort Smith, AR-OK MSA","245,459","244,310",0.47%,
194,"Binghamton, NY MSA","245,220","247,138",−0.78%,
195,"Appleton, WI MSA","244,084","243,147",0.39%,"Appleton-Oshkosh-Neenah, WI CSA"
196,"Prescott Valley-Prescott, AZ MSA","242,253","236,209",2.56%,
197,"Daphne-Fairhope-Foley, AL MSA","239,294","231,767",3.25%,"Mobile-Daphne-Fairhope, AL CSA"
198,"Tyler, TX MSA","237,186","233,479",1.59%,"Tyler-Jacksonville, TX CSA"
199,"Macon-Bibb County, GA MSA","233,883","233,802",0.03%,"Macon-Bibb County–Warner Robins, GA CSA"
200,"Topeka, KS MSA","232,670","233,152",−0.21%,
201,"Barnstable Town, MA MSA","232,411","228,996",1.49%,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
202,"Bellingham, WA MSA","228,831","226,847",0.87%,
203,"Rochester, MN MSA","227,151","226,329",0.36%,"Rochester-Austin, MN CSA"
204,"Burlington-South Burlington, VT MSA","226,611","225,562",0.47%,"Burlington-South Burlington-Barre, VT CSA"
205,"Lafayette-West Lafayette, IN MSA","224,709","223,716",0.44%,"Lafayette-West Lafayette-Frankfort, IN CSA"
206,"Medford, OR MSA","223,734","223,259",0.21%,"Medford-Grants Pass, OR CSA"
207,"Champaign-Urbana, IL MSA","222,696","222,538",0.07%,
208,"Charlottesville, VA MSA","222,688","221,524",0.53%,
209,"Hilton Head Island-Bluffton-Beaufort, SC MSA","222,072","215,908",2.85%,
210,"Las Cruces, NM MSA","221,508","219,561",0.89%,"El Paso-Las Cruces, TX-NM CSA"
211,"Athens-Clarke County, GA MSA","217,759","215,415",1.09%,"Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA"
212,"Lake Havasu City-Kingman, AZ MSA","217,692","213,267",2.07%,
213,"Columbia, MO MSA","213,123","210,864",1.07%,"Columbia-Moberly-Mexico, MO CSA"
214,"Lake Charles, LA MSA","210,362","222,402",−5.41%,"Lake Charles-Jennings, LA CSA"
215,"Chico, CA MSA","208,309","211,632",−1.57%,
216,"Johnson City, TN MSA","208,068","207,285",0.38%,"Johnson City-Kingsport-Bristol, TN-VA CSA"
217,"Gainesville, GA MSA","207,369","203,136",2.08%,"Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA"
218,"Yuma, AZ MSA","206,990","203,881",1.52%,
219,"Elkhart-Goshen, IN MSA","206,921","207,047",−0.06%,"South Bend-Elkhart-Mishawaka, IN-MI CSA"
220,"Springfield, IL MSA","206,898","208,640",−0.83%,"Springfield-Jacksonville-Lincoln, IL CSA"
221,"Houma-Thibodaux, LA MSA","206,212","207,137",−0.45%,
222,"Jacksonville, NC MSA","206,160","204,576",0.77%,
223,"Monroe, LA MSA","204,884","207,104",−1.07%,"Monroe-Ruston, LA CSA"
224,"Bend, OR MSA","204,801","198,253",3.30%,"Bend-Prineville, OR CSA"
225,"St. Cloud, MN MSA","200,406","199,671",0.37%,"Minneapolis-St. Paul, MN-WI CSA"
226,"Florence, SC MSA","199,259","199,964",−0.35%,
227,"Racine, WI MSA","196,896","197,727",−0.42%,"Milwaukee-Racine-Waukesha, WI CSA"
228,"Warner Robins, GA MSA","195,246","191,614",1.90%,"Macon-Bibb County–Warner Robins, GA CSA"
229,"Punta Gorda, FL MSA","194,843","186,847",4.28%,"North Port-Sarasota, FL CSA"
230,"St. George, UT MSA","191,226","180,279",6.07%,
231,"Saginaw, MI MSA","189,591","190,124",−0.28%,"Saginaw-Midland-Bay City, MI CSA"
232,"Billings, MT MSA","187,037","184,167",1.56%,
233,"Terre Haute, IN MSA","184,910","185,031",−0.07%,
234,"Dover, DE MSA","184,149","181,851",1.26%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
235,"Kingston, NY MSA","182,951","181,851",0.60%,"New York-Newark, NY-NJ-CT-PA CSA"
236,"Bowling Green, KY MSA","182,594","179,639",1.64%,"Bowling Green-Glasgow, KY CSA"
237,"Joplin, MO MSA","182,541","181,409",0.62%,"Joplin-Miami, MO-OK CSA"
238,"Yuba City, CA MSA","182,484","181,208",0.70%,"Sacramento-Roseville, CA CSA"
239,"Redding, CA MSA","182,139","182,155",−0.01%,"Redding-Red Bluff, CA CSA"
240,"Jackson, TN MSA","180,799","180,504",0.16%,"Jackson-Brownsville, TN Combined Statistical Area"
241,"El Centro, CA MSA","179,851","179,702",0.08%,
242,"Coeur d'Alene, ID MSA","179,789","171,362",4.92%,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA"
243,"Panama City, FL MSA","179,168","175,216",2.26%,
244,"Abilene, TX MSA","177,314","176,579",0.42%,
245,"Iowa City, IA MSA","177,239","175,419",1.04%,"Cedar Rapids-Iowa City, IA CSA"
246,"Auburn-Opelika, AL MSA","177,218","174,241",1.71%,"Columbus-Auburn-Opelika, GA-AL CSA"
247,"Muskegon, MI MSA","176,511","175,824",0.39%,"Grand Rapids-Kentwood-Muskegon, MI CSA"
248,"Burlington, NC MSA","173,877","171,415",1.44%,"Greensboro–Winston-Salem–High Point, NC CSA"
249,"Eau Claire, WI MSA","173,317","172,007",0.76%,"Eau Claire-Menomonie, WI CSA"
250,"Midland, TX MSA","173,180","175,220",−1.16%,"Midland-Odessa, TX CSA"
251,"Hattiesburg, MS MSA","173,078","172,231",0.49%,"Hattiesburg-Laurel, MS CSA"
252,"Greenville, NC MSA","172,169","170,243",1.13%,"Greenville-Kinston-Washington, NC CSA"
253,"Oshkosh-Neenah, WI MSA","171,623","171,730",−0.06%,"Appleton-Oshkosh-Neenah, WI CSA"
254,"Bloomington, IL MSA","170,889","170,954",−0.04%,"Bloomington-Pontiac, IL CSA"
255,"Pueblo, CO MSA","169,622","168,162",0.87%,"Pueblo-Cañon City, CO CSA"
256,"East Stroudsburg, PA MSA","169,273","168,327",0.56%,"New York-Newark, NY-NJ-CT-PA CSA"
257,"Waterloo-Cedar Falls, IA MSA","167,796","168,461",−0.39%,
258,"Wausau-Weston, WI MSA","166,189","166,428",−0.14%,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA"
259,"Blacksburg-Christiansburg, VA MSA","165,293","166,378",−0.65%,
260,"Janesville-Beloit, WI MSA","164,381","163,687",0.42%,"Madison-Janesville-Beloit, WI CSA"
261,"Kahului-Wailuku-Lahaina, HI MSA","164,221","164,754",−0.32%,
262,"Sebastian-Vero Beach, FL MSA","163,662","159,788",2.42%,"Miami-Port St. Lucie-Fort Lauderdale, FL CSA"
263,"Idaho Falls, ID MSA","162,786","157,429",3.40%,"Idaho Falls-Rexburg-Blackfoot, ID CSA"
264,"Bloomington, IN MSA","161,321","161,039",0.18%,"Bloomington-Bedford, IN CSA"
265,"Odessa, TX MSA","161,091","165,171",−2.47%,"Midland-Odessa, TX CSA"
266,"Jackson, MI MSA","160,050","160,366",−0.20%,
267,"Madera, CA MSA","159,410","156,255",2.02%,"Fresno-Madera-Hanford, CA CSA"
268,"Homosassa Springs, FL MSA","158,083","153,843",2.76%,
269,"State College, PA MSA","157,527","158,172",−0.41%,"State College-DuBois, PA CSA"
270,"Grand Junction, CO MSA","157,335","155,703",1.05%,
271,"Elizabethtown-Fort Knox, KY MSA","156,766","155,572",0.77%,"Louisville/Jefferson County–Elizabethtown–Bardstown, KY-IN CSA"
272,"Decatur, AL MSA","156,758","156,494",0.17%,"Huntsville-Decatur, AL CSA"
273,"Chambersburg-Waynesboro, PA MSA","156,289","155,932",0.23%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
274,"Monroe, MI MSA","155,274","154,809",0.30%,"Detroit-Warren-Ann Arbor, MI CSA"
275,"Santa Fe, NM MSA","155,201","154,823",0.24%,"Albuquerque-Santa Fe-Las Vegas, NM CSA"
276,"Vineland-Bridgeton, NJ MSA","153,627","154,152",−0.34%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
277,"Hanford-Corcoran, CA MSA","153,443","152,486",0.63%,"Fresno-Madera-Hanford, CA CSA"
278,"Niles, MI MSA","153,101","154,316",−0.79%,"South Bend-Elkhart-Mishawaka, IN-MI CSA"
279,"Bangor, ME MSA","152,765","152,199",0.37%,
280,"Logan, UT-ID MSA","152,083","147,348",3.21%,
281,"Dothan, AL MSA","151,618","151,007",0.40%,"Dothan-Ozark, AL CSA"
282,"Florence-Muscle Shoals, AL MSA","151,517","150,791",0.48%,
283,"Alexandria, LA MSA","150,890","152,192",−0.86%,
284,"Jefferson City, MO MSA","150,706","150,309",0.26%,
285,"Sioux City, IA-NE-SD MSA","149,265","149,940",−0.45%,
286,"Valdosta, GA MSA","149,152","148,126",0.69%,
287,"Wichita Falls, TX MSA","149,013","148,128",0.60%,
288,"Albany, GA MSA","147,773","148,922",−0.77%,
289,"Texarkana, TX-AR MSA","147,174","147,519",−0.23%,
290,"Winchester, VA-WV MSA","145,155","142,632",1.77%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
291,"Flagstaff, AZ MSA","145,052","145,101",−0.03%,
292,"Morristown, TN MSA","143,855","142,709",0.80%,"Knoxville-Morristown-Sevierville, TN CSA"
293,"Rocky Mount, NC MSA","143,535","143,870",−0.23%,"Rocky Mount-Wilson-Roanoke Rapids, NC CSA"
294,"Lebanon, PA MSA","143,493","143,257",0.16%,"Harrisburg-York-Lebanon, PA CSA"
295,"Dalton, GA MSA","142,799","142,837",−0.03%,"Chattanooga-Cleveland-Dalton, TN-GA CSA"
296,"Rapid City, SD MSA","141,979","139,074",2.09%,"Rapid City-Spearfish, SD CSA"
